length,diameter,height,whole_wt,shucked_wt,viscera_wt,shell_wt,age,class
0.56,0.45,0.185,1.07,0.3805,0.175,0.41,20.5,1
0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,11.5,2
0.635,0.505,0.17,1.415,0.605,0.297,0.365,16.5,2
0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,14.5,1
0.54,0.475,0.155,0.928,0.394,0.194,0.26,12.5,1
0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,13.5,1
0.53,0.42,0.165,0.8945,0.319,0.239,0.245,12.5,1
0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,5.5,2
0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,7.5,1
0.46,0.38,0.13,0.639,0.3,0.1525,0.16,12.5,1
0.52,0.45,0.15,0.895,0.3615,0.186,0.235,15.5,1
0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,9.5,1
0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,10.5,1
0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,14.5,1
0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,23.5,1
0.59,0.5,0.2,1.187,0.412,0.2705,0.37,17.5,1
0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,15.5,1
0.63,0.505,0.225,1.525,0.56,0.3335,0.45,16.5,2
0.63,0.515,0.155,1.259,0.4105,0.197,0.41,14.5,1
0.655,0.54,0.215,1.844,0.7425,0.327,0.585,23.5,1
0.66,0.53,0.185,1.3485,0.493,0.245,0.49,13.5,1
0.61,0.5,0.24,1.642,0.532,0.3345,0.69,19.5,2
0.635,0.525,0.205,1.484,0.55,0.3115,0.43,21.5,1
0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,12.5,1
0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,16.5,2
0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,8.5,2
0.455,0.355,0.12,0.4495,0.177,0.104,0.15,10.5,1
0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,15.5,1
0.515,0.38,0.175,0.9565,0.325,0.158,0.31,15.5,1
0.535,0.415,0.17,0.879,0.295,0.1965,0.285,11.5,2
0.53,0.435,0.155,0.699,0.288,0.1595,0.205,11.5,2
0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,18.5,1
0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,10.5,1
0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,11.5,2
0.54,0.435,0.18,0.996,0.3835,0.226,0.325,18.5,1
0.565,0.505,0.21,1.2765,0.501,0.279,0.355,13.5,1
0.61,0.475,0.165,1.116,0.428,0.2205,0.315,16.5,2
0.565,0.455,0.175,1.013,0.342,0.207,0.35,20.5,1
0.6,0.495,0.195,1.0575,0.384,0.19,0.375,27.5,1
0.295,0.215,0.085,0.128,0.049,0.034,0.04,7.5,1
0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,7.5,1
0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,5.5,2
0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,12.5,1
0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,10.5,1
0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,10.5,1
0.54,0.435,0.175,0.892,0.322,0.174,0.335,14.5,1
0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,9.5,1
0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,7.5,1
0.47,0.36,0.13,0.472,0.182,0.114,0.15,11.5,2
0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,5.5,2
0.165,0.12,0.03,0.0215,0.007,0.005,0.005,4.5,1
0.645,0.515,0.24,1.5415,0.471,0.369,0.535,14.5,1
0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,15.5,1
0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,11.5,2
0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,22.5,1
0.56,0.44,0.14,0.971,0.443,0.2045,0.265,15.5,1
0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,20.5,1
0.62,0.47,0.2,1.2255,0.381,0.27,0.435,24.5,1
0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,24.5,1
0.45,0.355,0.11,0.4585,0.194,0.067,0.14,9.5,1
0.635,0.535,0.19,1.242,0.576,0.2475,0.39,15.5,1
0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,11.5,2
0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,19.5,2
0.33,0.255,0.095,0.172,0.066,0.0255,0.06,7.5,1
0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,6.5,1
0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,5.5,2
0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,12.5,1
0.265,0.205,0.07,0.1055,0.039,0.041,0.035,6.5,1
0.335,0.265,0.105,0.222,0.0935,0.056,0.075,8.5,2
0.355,0.275,0.09,0.251,0.097,0.053,0.08,8.5,2
0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,8.5,2
0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,13.5,1
0.36,0.295,0.105,0.241,0.0865,0.053,0.095,9.5,1
0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,9.5,1
0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,13.5,1
0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,9.5,1
0.3,0.22,0.08,0.121,0.0475,0.042,0.035,6.5,1
0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,6.5,1
0.74,0.6,0.195,1.974,0.598,0.4085,0.71,17.5,1
0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,12.5,1
0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,15.5,1
0.59,0.45,0.185,1.283,0.473,0.276,0.425,17.5,1
0.62,0.475,0.185,1.325,0.6045,0.325,0.33,14.5,1
0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,16.5,2
0.575,0.455,0.145,1.165,0.581,0.2275,0.3,15.5,1
0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,15.5,1
0.62,0.465,0.185,1.274,0.579,0.3065,0.32,13.5,1
0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,13.5,1
0.46,0.425,0.155,0.746,0.3005,0.152,0.24,9.5,1
0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,14.5,1
0.525,0.42,0.16,0.756,0.2745,0.173,0.275,10.5,1
0.34,0.26,0.08,0.2,0.08,0.0555,0.055,7.5,1
0.375,0.305,0.115,0.2715,0.092,0.074,0.09,9.5,1
0.61,0.48,0.15,1.2,0.56,0.2455,0.28,15.5,1
0.61,0.495,0.185,1.153,0.536,0.2905,0.245,9.5,1
0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,23.5,1
0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,13.5,1
0.58,0.455,0.17,0.93,0.408,0.259,0.22,10.5,1
0.635,0.515,0.17,1.275,0.509,0.286,0.34,17.5,1
0.7,0.58,0.205,2.13,0.7415,0.49,0.58,21.5,1
0.675,0.525,0.185,1.587,0.6935,0.336,0.395,14.5,1
0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,19.5,2
0.745,0.585,0.215,2.499,0.9265,0.472,0.7,18.5,1
0.685,0.545,0.18,1.768,0.7495,0.392,0.485,17.5,1
0.605,0.49,0.18,1.227,0.48,0.287,0.35,19.5,2
0.59,0.465,0.15,0.997,0.392,0.246,0.34,13.5,1
0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,21.5,1
0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,17.5,1
0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,13.5,1
0.63,0.515,0.16,1.016,0.4215,0.244,0.355,20.5,1
0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,12.5,1
0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,11.5,2
0.63,0.49,0.18,1.13,0.458,0.2765,0.315,13.5,1
0.69,0.56,0.215,1.719,0.68,0.299,0.47,18.5,1
0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,17.5,1
0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,17.5,1
0.68,0.58,0.2,1.787,0.585,0.453,0.6,20.5,1
0.7,0.575,0.17,1.31,0.5095,0.314,0.42,15.5,1
0.685,0.52,0.15,1.343,0.4635,0.292,0.4,14.5,1
0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,21.5,1
0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,12.5,1
0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,11.5,2
0.565,0.465,0.175,0.995,0.3895,0.183,0.37,16.5,2
0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,13.5,1
0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,16.5,2
0.535,0.42,0.145,0.791,0.33,0.189,0.25,11.5,2
0.485,0.4,0.135,0.663,0.313,0.137,0.2,11.5,2
0.47,0.375,0.12,0.5565,0.226,0.122,0.195,13.5,1
0.545,0.425,0.135,0.8445,0.373,0.21,0.235,11.5,2
0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,10.5,1
0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,13.5,1
0.46,0.38,0.135,0.482,0.207,0.1225,0.145,11.5,2
0.49,0.42,0.125,0.609,0.239,0.1435,0.22,15.5,1
0.465,0.375,0.12,0.471,0.222,0.119,0.14,10.5,1
0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,11.5,2
0.475,0.375,0.125,0.593,0.277,0.115,0.18,11.5,2
0.47,0.375,0.125,0.5615,0.252,0.137,0.18,11.5,2
0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,10.5,1
0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,7.5,1
0.39,0.31,0.1,0.302,0.116,0.064,0.115,12.5,1
0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,11.5,2
0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,9.5,1
0.535,0.44,0.15,0.6765,0.256,0.139,0.26,13.5,1
0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,12.5,1
0.485,0.365,0.12,0.5885,0.27,0.131,0.175,10.5,1
0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,10.5,1
0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,8.5,2
0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,11.5,2
0.44,0.345,0.12,0.365,0.1655,0.083,0.11,8.5,2
0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,13.5,1
0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,9.5,1
0.59,0.485,0.12,0.911,0.39,0.182,0.29,17.5,1
0.555,0.45,0.145,0.915,0.4,0.246,0.285,12.5,1
0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,9.5,1
0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,16.5,2
0.585,0.475,0.12,0.945,0.41,0.2115,0.28,15.5,1
0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,12.5,1
0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,13.5,1
0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,15.5,1
0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,16.5,2
0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,21.5,1
0.63,0.515,0.165,1.352,0.488,0.349,0.45,21.5,1
0.63,0.5,0.155,1.005,0.367,0.199,0.36,17.5,1
0.545,0.41,0.14,0.625,0.223,0.16,0.235,14.5,1
0.67,0.54,0.165,1.5015,0.518,0.358,0.505,15.5,1
0.49,0.38,0.12,0.529,0.2165,0.139,0.155,12.5,1
0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,14.5,1
0.29,0.225,0.07,0.101,0.036,0.0235,0.035,9.5,1
0.26,0.2,0.07,0.092,0.037,0.02,0.03,7.5,1
0.58,0.45,0.175,1.068,0.425,0.203,0.32,14.5,1
0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,19.5,2
0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,20.5,1
0.56,0.455,0.125,0.943,0.344,0.129,0.375,22.5,1
0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,19.5,2
0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,19.5,2
0.6,0.47,0.155,1.036,0.4375,0.196,0.325,21.5,1
0.565,0.455,0.17,0.9065,0.342,0.156,0.32,19.5,2
0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,23.5,1
0.44,0.345,0.1,0.366,0.122,0.0905,0.12,14.5,1
0.5,0.41,0.15,0.662,0.2815,0.137,0.22,12.5,1
0.36,0.275,0.095,0.217,0.084,0.0435,0.09,8.5,2
0.385,0.305,0.095,0.252,0.0915,0.055,0.09,15.5,1
0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,10.5,1
0.5,0.415,0.165,0.6885,0.249,0.138,0.25,14.5,1
0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,11.5,2
0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,9.5,1
0.505,0.425,0.14,0.85,0.275,0.1625,0.285,20.5,1
0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,11.5,2
0.41,0.325,0.105,0.3635,0.159,0.077,0.12,11.5,2
0.56,0.455,0.19,0.714,0.283,0.129,0.275,10.5,1
0.565,0.435,0.185,0.9815,0.329,0.136,0.39,14.5,1
0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,17.5,1
0.605,0.5,0.175,1.098,0.4765,0.232,0.375,13.5,1
0.565,0.455,0.15,0.8205,0.365,0.159,0.26,19.5,2
0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,17.5,1
0.675,0.535,0.16,1.41,0.592,0.3175,0.42,17.5,1
0.665,0.555,0.195,1.4385,0.581,0.354,0.36,18.5,1
0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,12.5,1
0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,15.5,1
0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,12.5,1
0.64,0.54,0.175,1.221,0.51,0.259,0.39,16.5,2
0.36,0.28,0.105,0.199,0.0695,0.045,0.08,10.5,1
0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,11.5,2
0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,12.5,1
0.38,0.285,0.1,0.2665,0.115,0.061,0.075,12.5,1
0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,13.5,1
0.24,0.185,0.07,0.0715,0.026,0.018,0.025,7.5,1
0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,6.5,1
0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,7.5,1
0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,6.5,1
0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,13.5,1
0.655,0.53,0.195,1.388,0.567,0.2735,0.41,14.5,1
0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,18.5,1
0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,22.5,1
0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,10.5,1
0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,11.5,2
0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,10.5,1
0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,12.5,1
0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765,11.5,2
0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,18.5,1
0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,10.5,1
0.665,0.54,0.175,1.347,0.4955,0.254,0.415,18.5,1
0.735,0.59,0.225,1.756,0.637,0.3405,0.58,22.5,1
0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,17.5,1
0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,30.5,1
0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,18.5,1
0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,16.5,2
0.58,0.46,0.15,0.9955,0.429,0.212,0.26,20.5,1
0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,13.5,1
0.585,0.465,0.14,0.908,0.381,0.1615,0.315,14.5,1
0.55,0.45,0.13,0.92,0.378,0.2385,0.29,12.5,1
0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,16.5,2
0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,12.5,1
0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,15.5,1
0.59,0.455,0.145,1.073,0.475,0.19,0.285,15.5,1
0.58,0.46,0.13,0.921,0.357,0.181,0.29,14.5,1
0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,12.5,1
0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,16.5,2
0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,18.5,1
0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,16.5,2
0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,13.5,1
0.605,0.485,0.165,1.0105,0.435,0.209,0.3,20.5,1
0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,12.5,1
0.555,0.45,0.175,0.874,0.3275,0.202,0.305,11.5,2
0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,13.5,1
0.62,0.52,0.225,1.1835,0.378,0.27,0.395,24.5,1
0.62,0.47,0.225,1.115,0.378,0.2145,0.36,16.5,2
0.6,0.505,0.19,1.129,0.4385,0.256,0.36,14.5,1
0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,18.5,1
0.6,0.47,0.175,1.105,0.4865,0.247,0.315,16.5,2
0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,13.5,1
0.585,0.455,0.225,1.055,0.3815,0.221,0.365,16.5,2
0.56,0.435,0.18,0.889,0.36,0.204,0.25,12.5,1
0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,17.5,1
0.68,0.53,0.185,1.1095,0.439,0.245,0.34,11.5,2
0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,11.5,2
0.49,0.38,0.145,0.6725,0.249,0.181,0.21,11.5,2
0.31,0.22,0.085,0.146,0.061,0.0365,0.045,7.5,1
0.275,0.195,0.07,0.08,0.031,0.0215,0.025,6.5,1
